date,confirm_add,confirm,heal,dead
03.08,3,3,0,0
03.09,0,3,0,0
03.10,0,3,0,0
03.11,0,3,0,0
03.12,0,3,0,0
03.13,0,3,0,0
03.14,0,3,0,0
03.15,2,5,2,0
03.16,3,8,2,0
03.17,0,8,2,0
03.18,6,14,3,1
03.19,3,17,3,1
03.20,3,20,3,1
03.21,4,24,3,2
03.22,3,27,5,2
03.23,6,33,5,3
03.24,6,33,5,3
03.25,6,39,7,5
03.26,11,44,11,5
03.27,4,48,11,5
03.28,0,48,15,5
03.29,0,48,15,5
03.30,1,49,19,5
03.31,2,51,25,5
04.01,3,54,25,6
04.02,2,56,25,6
04.03,5,61,26,6
04.04,9,70,30,8
04.05,18,88,33,9
04.06,35,123,33,12
04.07,41,164,33,17
04.08,54,218,33,20
04.09,112,330,33,21
04.10,94,424,33,27
04.11,58,482,36,30
04.12,139,621,39,34
04.13,182,803,42,39
04.14,209,1012,42,46
04.15,219,1231,49,50
04.16,341,1572,49,60
04.17,266,1838,58,75
04.18,306,2144,66,84
04.19,312,2456,75,91
04.20,492,2948,85,101
04.21,434,3382,87,110
04.22,390,3772,92,120
04.23,414,4186,108,127
04.24,503,4689,112,131
04.25,309,4998,113,140
04.26,418,5416,122,145
04.27,497,5913,131,152
04.28,549,6462,139,155
04.29,641,7103,150,163
04.30,564,7667,160,168
05.01,571,8238,174,170
05.02,552,8790,177,175
05.03,0,8790,177,175
05.04,1353,10143,1209,182
05.05,786,10929,1403,183
05.06,790,11719,1403,186
05.07,706,12425,1910,199
05.08,709,13134,1910,206
05.09,636,13770,2414,214
05.10,887,14657,2650,228
05.11,1034,15691,2902,239
05.12,969,16660,3147,250
05.13,1162,17822,3361,269
05.14,1041,18863,3361,283
05.15,1202,20065,3882,298
05.16,930,20995,4117,314
05.17,1273,22268,4373,328
05.18,1602,23870,4585,349
05.19,1251,25121,4993,370
05.20,1617,26738,5207,386
05.21,1773,28511,5602,408
05.22,1694,30205,6190,432
05.23,1873,32078,6486,452
05.24,1532,33610,6901,480
05.25,1975,35585,7334,501
05.26,1166,36751,7579,522
05.27,1541,38292,7925,544
05.28,2029,40321,8425,559
05.29,2523,42844,9015,582
05.30,1764,44608,9375,610
05.31,2545,47153,9781,650
06.01,2381,49534,10597,672
06.02,2911,52445,11120,709
06.03,0,52445,11120,709
06.04,5118,57563,12161,781
06.05,2828,60391,12804,811
06.06,2635,63026,13325,846
06.07,2743,65769,13903,888
06.08,2735,68504,14560,930
06.09,3171,71675,15337,975
06.10,3190,74865,15900,1012
06.11,3187,78052,16747,1049
06.12,3471,81523,17249,1095
06.13,2856,84379,17827,1139
06.14,3141,87520,18730,1171
06.15,3099,90619,18731,1209
06.16,3862,94481,36264,1262
06.17,4008,98489,38189,1305
06.18,3803,102292,40164,1343
06.19,3243,105535,42945,1388
06.20,3240,108775,43993,1425
06.21,3531,112306,45077,1464
06.22,3480,115786,46755,1502
06.23,3412,119198,47635,1545
06.24,3462,122660,49666,1582
06.25,3946,126606,51495,1621
06.26,3868,130474,53133,1661
06.27,3504,133978,54318,1695
06.28,3809,137787,55727,1738
06.29,4014,141801,57780,1783
06.30,3682,145483,59624,1847
07.01,3775,149258,62108,1888
07.02,4019,153277,66442,1926
07.03,3114,156391,68048,1968
07.04,3288,159679,70721,1997
07.05,2738,162417,72625,2052
07.06,3201,165618,76149,2096
07.07,3027,168645,78102,2151
07.08,3489,172134,80838,2197
07.09,3360,175494,84544,2238
07.10,2949,178443,86406,2275
07.11,2686,181129,88034,2305
07.12,2666,183795,93614,2352
07.13,3099,186894,98317,2391
07.14,3163,190057,103227,2424
07.15,3533,193590,105523,2457
07.16,2733,196323,106963,2496
07.17,3034,199357,108725,2547
07.18,2709,202066,110098,2581
07.19,2459,204525,111642,2618
07.20,2928,207453,113556,2668
07.21,3057,210510,115397,2709
07.22,2744,213254,117202,2751
