date,confirm_add,confirm,heal,dead
03.11,2,2,0,0
03.12,0,2,0,0
03.13,0,2,0,0
03.14,0,2,0,0
03.15,0,2,0,0
03.16,0,2,0,0
03.17,0,2,0,0
03.18,6,8,0,0
03.19,4,12,0,0
03.20,12,24,0,0
03.21,0,24,0,0
03.22,2,26,0,0
03.23,1,27,0,0
03.24,6,30,0,0
03.25,6,36,0,0
03.26,22,52,0,0
03.27,16,68,0,1
03.28,27,95,3,1
03.29,27,95,3,1
03.30,44,139,3,1
03.31,2,141,3,7
04.01,31,172,3,10
04.02,47,219,3,14
04.03,3,222,3,15
04.04,42,264,3,15
04.05,4,268,6,22
04.06,30,298,6,22
04.07,7,305,6,22
04.08,7,312,6,22
04.09,31,343,6,23
04.10,39,382,7,23
04.11,10,392,7,24
04.12,1,393,7,25
04.13,4,397,7,25
04.14,10,407,7,26
04.15,12,419,9,31
04.16,7,426,9,35
04.17,16,442,10,41
04.18,15,457,10,46
04.19,15,472,15,46
04.20,5,477,25,46
04.21,17,494,29,46
04.22,16,510,30,46
04.23,9,519,31,47
04.24,43,562,50,47
04.25,29,591,58,55
04.26,36,627,65,59
04.27,34,661,79,61
04.28,41,702,79,64
04.29,36,738,73,66
04.30,33,771,79,71
05.01,33,804,112,75
05.02,95,899,112,75
05.03,0,899,112,75
05.04,156,1055,118,82
05.05,123,1178,122,83
05.06,92,1270,122,93
05.07,191,1461,132,99
05.08,224,1685,154,105
05.09,86,1771,192,107
05.10,59,1830,195,108
05.11,142,1972,203,108
05.12,128,2100,206,116
05.13,-20,2080,211,121
05.14,175,2255,237,123
05.15,63,2318,253,133
05.16,142,2460,264,134
05.17,105,2565,278,138
05.18,81,2646,319,142
05.19,152,2798,340,146
05.20,157,2955,349,147
05.21,145,3100,355,151
05.22,104,3204,397,156
05.23,273,3477,439,167
05.24,266,3743,455,174
05.25,207,3950,468,180
05.26,239,4189,473,182
05.27,212,4401,493,188
05.28,239,4640,506,194
05.29,112,4752,519,196
05.30,134,4886,528,199
05.31,208,5094,536,201
06.01,108,5202,537,212
06.02,160,5362,549,217
06.03,0,5362,549,217
06.04,328,5690,617,234
06.05,190,5880,648,243
06.06,91,5971,677,248
06.07,184,6155,697,250
06.08,172,6327,712,258
06.09,123,6450,740,262
06.10,485,6935,787,271
06.11,425,7360,809,290
06.12,309,7669,837,294
06.13,463,8132,844,306
06.14,323,8455,894,310
06.15,403,8858,967,312
06.16,320,9178,1025,322
06.17,478,9656,1075,330
06.18,643,10299,1116,336
06.19,440,10739,1179,343
06.20,519,11258,1214,349
06.21,1048,12306,1275,358
06.22,463,12769,1293,363
06.23,587,13356,1362,395
06.24,587,13943,1461,405
06.25,628,14571,1546,417
06.26,795,15366,1600,426
06.27,628,15994,1678,471
06.28,1013,17007,1767,479
06.29,1075,18082,1875,479
06.30,736,18818,1961,485
07.01,740,19558,2060,497
07.02,704,20262,2123,542
07.03,858,21120,2190,591
07.04,996,22116,2250,605
07.05,805,22921,2387,629
07.06,1022,23943,2490,639
07.07,722,24665,2585,656
07.08,763,25428,2637,677
07.09,550,25978,2721,694
07.10,406,26384,2779,704
07.11,669,27053,2850,750
07.12,530,27583,2901,771
07.13,507,28090,2957,774
07.14,489,28579,3123,789
07.15,527,29106,3287,807
07.16,930,30036,3379,825
07.17,831,30867,3420,835
07.18,878,31745,3565,857
07.19,1048,32793,3661,891
07.20,1042,33835,3801,900
07.21,776,34611,3905,935
07.22,734,35345,4144,988
