date,confirm_add,confirm,heal,dead
01.28,0,1,0,0
01.29,0,1,0,0
01.30,0,1,0,0
01.31,0,1,0,0
02.01,0,1,0,0
02.02,0,1,0,0
02.03,0,1,0,0
02.04,0,1,0,0
02.05,0,1,0,0
02.06,0,1,0,0
02.07,0,1,0,0
02.08,0,1,0,0
02.09,0,1,0,0
02.10,0,1,0,0
02.11,0,1,0,0
02.12,0,1,0,0
02.13,0,1,0,0
02.14,0,1,0,0
02.15,0,1,0,0
02.16,0,1,0,0
02.17,0,1,0,0
02.18,0,1,1,0
02.19,0,1,1,0
02.20,0,1,1,0
02.21,0,1,1,0
02.22,0,1,1,0
02.23,0,1,1,0
02.24,0,1,1,0
02.25,0,1,1,0
02.26,0,1,1,0
02.27,0,1,1,0
02.28,0,1,1,0
02.29,0,1,1,0
03.01,0,1,1,0
03.02,0,1,1,0
03.03,0,1,1,0
03.04,0,1,1,0
03.05,0,1,1,0
03.06,0,1,1,0
03.07,0,1,1,0
03.08,0,1,1,0
03.09,0,1,1,0
03.10,0,1,1,0
03.11,0,1,1,0
03.12,0,1,1,0
03.13,0,1,1,0
03.14,0,1,1,0
03.15,0,1,1,0
03.16,0,1,1,0
03.17,0,1,1,0
03.18,0,1,1,0
03.19,0,1,1,0
03.20,0,1,1,0
03.21,0,1,1,0
03.22,1,2,1,0
03.23,1,2,1,0
03.24,2,4,1,0
03.25,1,5,1,0
03.26,-2,3,1,0
03.27,1,4,1,0
03.28,1,5,1,0
03.29,0,5,1,0
03.30,0,5,1,0
03.31,0,5,1,0
04.01,0,5,1,0
04.02,1,6,1,0
04.03,0,6,1,0
04.04,3,9,1,0
04.05,0,9,1,0
04.06,0,9,1,0
04.07,0,9,1,0
04.08,0,9,1,0
04.09,0,9,1,0
04.10,0,9,1,0
04.11,0,9,1,0
04.12,3,12,1,0
04.13,2,14,1,0
04.14,2,16,1,0
04.15,0,16,1,0
04.16,0,16,2,0
04.17,14,30,2,0
04.18,1,31,2,0
04.19,0,31,4,0
04.20,0,31,4,0
04.21,12,43,4,0
04.22,2,45,7,0
04.23,2,47,9,0
04.24,1,48,10,0
04.25,1,49,12,0
04.26,3,52,16,0
04.27,0,52,16,0
04.28,2,54,16,0
04.29,3,57,16,0
04.30,0,57,16,0
05.01,2,59,16,0
05.02,0,59,16,0
05.03,0,59,16,0
05.04,16,75,16,0
05.05,7,82,16,0
05.06,17,99,22,0
05.07,0,99,22,0
05.08,3,102,30,0
05.09,7,109,31,0
05.10,1,110,31,0
05.11,24,134,33,0
05.12,57,191,33,0
05.13,52,243,35,0
05.14,3,246,35,0
05.15,21,267,36,0
05.16,11,278,36,0
05.17,17,295,36,2
05.18,62,357,36,2
05.19,45,402,37,2
05.20,25,427,45,2
05.21,26,453,49,3
05.22,54,507,70,3
05.23,77,584,70,3
05.24,19,603,87,3
05.25,79,682,112,4
05.26,90,772,155,4
05.27,114,886,183,4
05.28,156,1042,187,5
05.29,170,1212,206,6
05.30,189,1401,219,6
05.31,166,1567,220,8
06.01,244,1811,221,8
06.02,288,2099,266,8
06.03,0,2099,266,8
06.04,535,2634,290,10
06.05,278,2912,333,11
06.06,323,3235,365,13
06.07,213,3448,467,13
06.08,314,3762,488,14
06.09,324,4086,584,15
06.10,0,4086,584,15
06.11,528,4614,861,15
06.12,448,5062,877,16
06.13,273,5335,913,18
06.14,425,5760,974,19
06.15,451,6211,1041,19
06.16,380,6591,1158,19
06.17,586,7177,1167,20
06.18,671,7848,1186,22
06.19,426,8274,1402,22
06.20,331,8605,1578,22
06.21,421,9026,1772,23
06.22,535,9561,2148,23
06.23,538,10099,2224,24
06.24,629,10728,2338,24
06.25,434,11162,2650,26
06.26,593,11755,2698,27
06.27,554,12309,2834,28
06.28,463,12772,3013,28
06.29,476,13248,3134,29
06.30,316,13564,3194,29
07.01,482,14046,4656,30
07.02,473,14519,5320,31
07.03,740,15259,6143,32
07.04,232,15491,6415,34
07.05,293,15784,6547,34
07.06,180,15964,6811,35
07.07,204,16168,7499,35
07.08,255,16423,7752,35
07.09,108,16531,7891,35
07.10,118,16649,8011,35
07.11,70,16719,8442,38
07.12,82,16801,8589,38
07.13,144,16945,10294,38
07.14,116,17061,10328,38
07.15,116,17177,11025,39
07.16,167,17344,11249,39
07.17,101,17445,11534,40
07.18,57,17502,11637,40
07.19,156,17658,11695,40
07.20,186,17844,11868,40
07.21,150,17994,12477,40
07.22,100,18094,12684,42
