date,confirm_add,confirm,heal,dead
03.05,2,2,0,0
03.06,0,2,0,0
03.07,0,2,0,0
03.08,0,2,0,0
03.09,0,2,0,0
03.10,1,3,0,1
03.11,2,5,0,1
03.12,1,6,0,2
03.13,1,7,0,2
03.14,0,7,0,2
03.15,12,28,1,1
03.16,0,28,1,1
03.17,10,38,1,2
03.18,11,49,1,2
03.19,12,61,1,2
03.20,5,66,2,3
03.21,20,86,2,3
03.22,10,96,2,3
03.23,13,122,3,4
03.24,28,143,5,4
03.25,27,170,6,5
03.26,55,225,7,6
03.27,50,275,8,10
03.28,83,358,11,23
03.29,79,437,12,26
03.30,79,516,13,27
03.31,58,574,15,33
04.01,64,638,26,37
04.02,38,676,29,40
04.03,59,735,49,47
04.04,123,858,62,50
04.05,103,961,70,69
04.06,152,1113,76,71
04.07,28,1141,88,83
04.08,101,1242,97,91
04.09,104,1346,103,96
04.10,85,1431,114,105
04.11,96,1527,141,110
04.12,90,1617,153,113
04.13,129,1746,196,120
04.14,92,1838,210,126
04.15,150,1988,218,127
04.16,263,2251,247,128
04.17,277,2528,273,133
04.18,142,2670,298,137
04.19,150,2820,322,138
04.20,170,2990,340,143
04.21,196,3186,359,144
04.22,191,3377,398,149
04.23,160,3537,430,151
04.24,155,3692,478,155
04.25,197,3889,498,159
04.26,158,4047,557,160
04.27,68,4115,669,161
04.28,131,4246,739,163
04.29,43,4289,890,167
04.30,70,4359,969,168
05.01,170,4529,1055,171
05.02,158,4687,1235,172
05.03,42,4729,1256,173
05.04,271,5000,1565,177
05.05,153,5153,1799,180
05.06,229,5382,1969,182
05.07,123,5505,2124,183
05.08,156,5661,2302,185
05.09,212,5873,2389,186
05.10,165,6038,2545,188
05.11,188,6226,2759,188
05.12,154,6380,2930,188
05.13,86,6466,3099,188
05.14,127,6593,3222,189
05.15,30,6623,3383,190
05.16,58,6681,3475,192
05.17,117,6798,3645,192
05.18,132,6930,3732,192
05.19,42,6972,3890,193
05.20,76,7048,4037,194
05.21,137,7185,4212,196
05.22,115,7300,4347,197
05.23,75,7375,4573,197
05.24,54,7429,4686,198
05.25,66,7495,4737,200
05.26,61,7556,4841,202
05.27,28,7584,4969,202
05.28,52,7636,5109,202
05.29,61,7697,5223,202
05.30,43,7740,5377,203
05.31,43,7783,5412,204
06.01,36,7819,5754,205
06.02,40,7859,6291,205
06.03,7,7866,6410,206
06.04,101,7967,7160,207
06.05,63,8030,7215,208
06.06,102,8132,7278,208
06.07,45,8177,7328,208
06.08,73,8250,7370,208
06.09,158,8408,7423,208
06.10,47,8455,7496,210
06.11,78,8533,7570,211
06.12,48,8581,7600,212
06.13,102,8683,7664,212
06.14,51,8734,7725,212
06.15,104,8838,7779,212
06.16,83,8921,7880,212
06.17,64,8985,7960,212
06.18,57,9042,7999,213
06.19,238,9280,8081,213
06.20,521,9801,8133,213
06.21,156,9957,8249,213
06.22,122,10079,8319,214
06.23,185,10264,8384,214
06.24,429,10693,8426,214
06.25,586,11279,8488,216
06.26,186,11465,8560,217
06.27,389,11854,8700,218
06.28,132,11986,8730,220
06.29,262,12248,8790,224
06.30,137,12385,8839,225
07.01,211,12596,8978,228
07.02,258,12854,9052,228
07.03,361,13215,9158,230
07.04,219,13434,9214,232
07.05,698,14132,9410,234
07.06,197,14329,9837,235
07.07,236,14565,10281,239
07.08,165,14730,10848,240
07.09,219,14949,11372,242
07.10,245,15194,11705,243
07.11,270,15464,11895,244
07.12,171,15635,12212,247
07.13,186,15821,12676,253
07.14,226,16047,13403,256
07.15,134,16181,13666,258
07.16,243,16424,13896,260
07.17,214,16638,14175,263
07.18,88,16726,14360,264
07.19,289,17015,14620,269
07.20,221,17236,14921,273
07.21,326,17562,15132,276
07.22,180,17742,15389,280
