date,confirm_add,confirm,heal,dead
01.28,0,1,0,0
01.29,0,1,0,0
01.30,0,1,0,0
01.31,0,1,0,0
02.01,0,1,0,0
02.02,1,2,0,1
02.03,0,2,0,1
02.04,0,2,0,1
02.05,1,3,0,1
02.06,0,3,0,1
02.07,0,3,0,1
02.08,0,3,0,1
02.09,0,3,0,1
02.10,0,3,0,1
02.11,0,3,0,1
02.12,0,3,0,1
02.13,0,3,0,1
02.14,0,3,0,1
02.15,0,3,0,1
02.16,0,3,0,1
02.17,0,3,0,1
02.18,0,3,1,1
02.19,0,3,1,1
02.20,0,3,1,1
02.21,0,3,1,1
02.22,0,3,1,1
02.23,0,3,1,1
02.24,0,3,1,1
02.25,0,3,1,1
02.26,0,3,1,1
02.27,0,3,1,1
02.28,0,3,1,1
02.29,0,3,1,1
03.01,0,3,1,1
03.02,2,5,1,1
03.03,0,5,1,1
03.04,0,5,1,1
03.05,0,5,1,1
03.06,0,5,1,1
03.07,1,6,1,1
03.08,0,6,1,1
03.09,14,20,2,1
03.10,15,35,2,1
03.11,14,49,2,2
03.12,3,52,2,2
03.13,12,64,2,5
03.14,34,98,2,8
03.15,42,140,2,12
03.16,2,142,3,12
03.17,45,187,4,14
03.18,15,202,7,17
03.19,15,217,8,17
03.20,13,230,8,18
03.21,77,307,13,19
03.22,73,380,15,25
03.23,82,462,18,33
03.24,90,552,20,35
03.25,84,636,26,38
03.26,71,707,28,45
03.27,96,803,31,54
03.28,272,1075,35,68
03.29,343,1418,42,71
03.30,128,1546,42,78
03.31,538,2084,49,88
04.01,227,2311,50,96
04.02,322,2633,51,107
04.03,385,3018,52,136
04.04,76,3094,57,144
04.05,152,3246,64,152
04.06,414,3660,73,163
04.07,104,3764,84,177
04.08,106,3870,96,182
04.09,206,4076,124,203
04.10,119,4195,140,221
04.11,233,4428,157,247
04.12,220,4648,197,297
04.13,284,4932,242,315
04.14,291,5223,295,335
04.15,230,5453,353,349
04.16,207,5660,435,362
04.17,218,5878,487,387
04.18,209,6087,516,397
04.19,172,6259,572,409
04.20,200,6459,613,428
04.21,140,6599,654,437
04.22,111,6710,693,446
04.23,271,6981,722,462
04.24,211,7192,762,477
04.25,102,7294,792,494
04.26,285,7579,862,501
04.27,198,7777,932,511
04.28,181,7958,975,530
04.29,254,8212,1023,558
04.30,276,8488,1043,568
05.01,284,8772,1084,579
05.02,156,8928,1124,603
05.03,0,8928,1124,603
05.04,557,9485,1315,623
05.05,199,9684,1408,637
05.06,320,10004,1506,658
05.07,339,10343,1618,685
05.08,120,10463,1734,696
05.09,147,10610,1842,704
05.10,184,10794,1924,719
05.11,292,11086,1999,726
05.12,264,11350,2106,751
05.13,268,11618,2251,772
05.14,258,11876,2337,790
05.15,215,12091,2460,806
05.16,214,12305,2561,817
05.17,208,12513,2635,824
05.18,205,12718,2729,831
05.19,224,12942,2843,837
05.20,279,13221,2932,842
05.21,213,13434,3000,846
05.22,163,13597,3092,857
05.23,180,13777,3177,863
05.24,258,14035,3249,868
05.25,284,14319,3323,873
05.26,350,14669,3412,886
05.27,380,15049,3506,904
05.28,539,15588,3598,921
05.29,1046,16634,3720,942
05.30,590,17224,3808,950
05.31,862,18086,3909,957
06.01,552,18638,3979,960
06.02,359,18997,4063,966
06.03,0,18997,4063,966
06.04,1385,20382,4248,984
06.05,244,20626,4330,987
06.06,714,21340,4441,994
06.07,555,21895,4530,1003
06.08,579,22474,4637,1011
06.09,518,22992,4736,1017
06.10,740,23732,4895,1027
06.11,443,24175,5165,1036
06.12,612,24787,5454,1052
06.13,605,25392,5706,1074
06.14,538,25930,5954,1088
06.15,490,26420,6252,1098
06.16,361,26781,6552,1103
06.17,457,27238,6820,1108
06.18,561,27799,7090,1116
06.19,660,28459,7378,1130
06.20,941,29400,7650,1150
06.21,652,30052,7893,1169
06.22,630,30682,8143,1177
06.23,1143,31825,8442,1186
06.24,470,32295,8656,1204
06.25,774,33069,8910,1212
06.26,1004,34073,9182,1224
06.27,730,34803,9430,1236
06.28,652,35455,9686,1244
06.29,983,36438,9956,1255
06.30,1076,37514,10233,1266
07.01,997,38511,10438,1270
07.02,294,38805,10673,1274
07.03,1531,40336,11073,1280
07.04,1494,41830,11453,1290
07.05,2424,44254,11942,1297
07.06,2079,46333,12185,1303
07.07,1540,47873,12386,1309
07.08,2486,50359,12588,1314
07.09,1395,51754,12813,1314
07.10,1160,52914,13230,1360
07.11,1308,54222,14037,1372
07.12,0,54222,14037,1372
07.13,2784,57006,20371,1599
07.14,539,57545,20459,1603
07.15,1305,58850,20976,1614
07.16,2416,61266,21440,1643
07.17,1735,63001,21748,1660
07.18,2303,65304,22067,1773
07.19,2152,67456,22465,1831
07.20,1442,68898,23072,1835
07.21,1866,70764,23281,1837
07.22,1505,72269,23623,1843
