date,confirm_add,confirm,heal,dead
03.13,1,1,0,0
03.14,0,1,0,0
03.15,2,3,0,0
03.16,0,3,0,0
03.17,1,4,0,0
03.18,3,7,0,0
03.19,0,7,0,0
03.20,0,7,0,0
03.21,0,7,0,0
03.22,8,15,0,0
03.23,1,16,0,0
03.24,9,25,0,0
03.25,12,28,0,0
03.26,3,31,1,0
03.27,0,31,1,1
03.28,7,38,1,1
03.29,4,42,1,1
03.30,8,50,1,1
03.31,9,59,1,1
04.01,22,81,3,1
04.02,29,110,4,3
04.03,12,122,4,4
04.04,4,126,4,4
04.05,16,142,4,4
04.06,16,158,4,6
04.07,14,172,7,6
04.08,7,179,9,6
04.09,5,184,12,7
04.10,5,189,22,7
04.11,2,191,24,7
04.12,6,197,25,8
04.13,11,208,40,9
04.14,0,208,40,9
04.15,17,225,53,10
04.16,9,234,53,11
04.17,12,246,53,11
04.18,16,262,60,12
04.19,8,270,67,14
04.20,11,281,69,14
04.21,15,296,74,14
04.22,7,303,74,14
04.23,17,320,89,14
04.24,16,336,94,14
04.25,7,343,98,14
04.26,12,355,106,14
04.27,8,363,114,14
04.28,11,374,124,14
04.29,10,384,129,14
04.30,12,396,144,17
05.01,0,396,144,17
05.02,39,435,152,22
05.03,0,435,152,22
05.04,55,490,173,24
05.05,45,535,182,24
05.06,47,582,190,26
05.07,25,607,197,29
05.08,14,621,202,29
05.09,28,649,207,30
05.10,23,672,239,32
05.11,28,700,251,33
05.12,15,715,259,36
05.13,22,737,281,40
05.14,21,758,284,42
05.15,0,758,284,42
05.16,72,830,301,50
05.17,57,887,301,50
05.18,25,912,336,50
05.19,51,963,358,50
05.20,66,1029,366,50
05.21,0,1029,366,50
05.22,132,1161,375,50
05.23,31,1192,380,50
05.24,22,1214,383,51
05.25,72,1286,402,52
05.26,62,1348,405,52
05.27,123,1471,408,55
05.28,147,1618,421,58
05.29,127,1745,438,62
05.30,143,1888,438,62
05.31,74,1962,478,64
06.01,59,2021,478,69
06.02,72,2093,499,71
06.03,0,2093,499,71
06.04,247,2340,592,78
06.05,134,2474,643,79
06.06,0,2474,643,79
06.07,293,2767,752,84
06.08,105,2872,849,85
06.09,117,2989,873,88
06.10,0,2989,873,88
06.11,226,3215,1092,92
06.12,90,3305,1164,96
06.13,0,3305,1164,96
06.14,289,3594,1221,100
06.15,133,3727,1286,104
06.16,133,3860,1328,105
06.17,0,3860,1328,105
06.18,397,4257,1459,117
06.19,117,4374,1550,119
06.20,104,4478,1586,121
06.21,0,4478,1586,121
06.22,319,4797,1680,125
06.23,155,4952,1782,128
06.24,254,5206,1782,128
06.25,178,5384,1857,132
06.26,149,5533,1905,137
06.27,278,5811,1936,141
06.28,259,6070,1936,141
06.29,120,6190,2013,144
06.30,0,6190,2013,144
07.01,483,6673,2089,149
07.02,268,6941,2089,149
07.03,247,7188,2109,154
07.04,389,7577,2148,154
07.05,309,7886,2287,160
07.06,181,8067,2414,164
07.07,183,8250,2504,167
07.08,278,8528,2593,169
07.09,447,8975,2657,173
07.10,473,9448,2733,181
07.11,278,9726,2832,184
07.12,0,9726,2832,184
07.13,568,10294,2946,197
07.14,497,10791,3017,202
07.15,461,11252,3068,209
07.16,421,11673,3638,217
07.17,389,12062,3983,222
07.18,688,12750,4440,225
07.19,0,12750,4440,225
07.20,603,13353,5122,234
07.21,418,13771,5616,238
07.22,397,14168,6258,250
