date,confirm_add,confirm,heal,dead
03.18,2,2,0,0
03.19,0,2,0,0
03.20,8,10,0,0
03.21,4,14,0,0
03.22,2,16,0,0
03.23,6,22,0,1
03.24,17,27,0,1
03.25,25,52,0,1
03.26,26,53,0,1
03.27,17,70,0,1
03.28,12,82,0,1
03.29,31,84,0,1
03.30,1,85,0,1
03.31,20,105,0,2
04.01,15,120,0,2
04.02,20,140,0,2
04.03,20,160,0,2
04.04,37,197,1,2
04.05,6,203,1,2
04.06,20,223,1,2
04.07,16,239,4,2
04.08,9,248,4,2
04.09,4,252,4,2
04.10,3,255,4,2
04.11,7,262,5,2
04.12,5,267,5,3
04.13,6,273,5,3
04.14,5,278,5,4
04.15,10,288,46,4
04.16,2,290,55,4
04.17,13,303,55,4
04.18,2,305,55,5
04.19,3,308,55,5
04.20,3,311,55,5
04.21,2,313,90,5
04.22,2,315,116,5
04.23,1,316,123,5
04.24,3,319,123,5
04.25,0,319,123,6
04.26,2,321,153,7
04.27,0,321,153,7
04.28,0,321,189,7
04.29,0,321,199,7
04.30,1,322,214,7
05.01,0,322,219,7
05.02,0,322,240,7
05.03,0,322,245,8
05.04,1,323,249,8
05.05,1,324,253,8
05.06,0,324,261,8
05.07,0,324,265,8
05.08,0,324,266,8
05.09,0,324,274,8
05.10,0,324,274,9
05.11,0,324,290,9
05.12,0,324,294,9
05.13,0,324,298,9
05.14,0,324,309,9
05.15,0,324,309,9
05.16,0,324,311,9
05.17,0,324,311,9
05.18,0,324,311,9
05.19,0,324,311,9
05.20,0,324,312,9
05.21,0,324,314,9
05.22,0,324,314,9
05.23,0,324,314,9
05.24,0,324,314,9
05.25,0,324,315,9
05.26,0,324,315,9
05.27,0,324,315,9
05.28,0,324,315,9
05.29,0,324,315,9
05.30,0,324,315,9
05.31,0,324,315,9
06.01,0,324,315,9
06.02,0,324,315,9
06.03,0,324,315,9
06.04,0,324,315,9
06.05,0,324,315,9
06.06,0,324,315,9
06.07,0,324,315,9
06.08,0,324,315,9
06.09,0,324,315,9
06.10,0,324,315,9
06.11,0,324,315,9
06.12,0,324,315,9
06.13,0,324,315,9
06.14,0,324,315,9
06.15,1,325,315,9
06.16,1,326,315,9
06.17,0,326,315,9
06.18,7,333,315,9
06.19,4,337,315,9
06.20,18,355,315,9
06.21,4,359,315,9
06.22,3,362,315,9
06.23,13,375,315,9
06.24,8,383,315,9
06.25,6,389,315,9
06.26,50,439,315,9
06.27,0,439,315,9
06.28,30,469,315,9
06.29,29,498,315,11
06.30,3,501,315,11
07.01,75,576,315,12
07.02,0,576,315,12
07.03,40,616,315,12
07.04,47,663,315,13
07.05,57,720,315,14
07.06,61,781,315,14
07.07,60,841,315,16
07.08,119,960,320,17
07.09,0,960,320,17
07.10,59,1019,320,19
07.11,0,1019,320,19
07.12,145,1164,325,23
07.13,57,1221,325,23
07.14,66,1287,330,24
07.15,0,1287,330,24
07.16,0,1287,330,24
07.17,678,1965,357,26
07.18,107,2072,378,30
07.19,0,2072,378,30
07.20,116,2188,385,32
07.21,95,2283,387,35
07.22,98,2381,426,35
