date,confirm_add,confirm,heal,dead
02.22,2,2,0,0
02.23,0,2,0,0
02.24,0,2,0,0
02.25,0,2,0,0
02.26,0,2,0,0
02.27,0,2,0,0
02.28,0,2,0,0
02.29,1,3,0,0
03.01,0,3,0,0
03.02,1,4,0,0
03.03,1,5,0,0
03.04,0,5,0,0
03.05,0,5,0,0
03.06,1,6,0,0
03.07,0,6,0,0
03.08,0,6,0,0
03.09,1,7,1,0
03.10,11,18,1,0
03.11,2,20,1,0
03.12,1,21,1,0
03.13,0,21,1,0
03.14,9,30,2,0
03.15,22,53,2,0
03.16,84,137,2,0
03.17,75,212,2,1
03.18,25,237,2,1
03.19,64,301,13,2
03.20,147,448,13,2
03.21,47,495,13,3
03.22,235,730,13,3
03.23,69,799,13,5
03.24,93,892,13,6
03.25,106,998,13,7
03.26,44,1016,13,7
03.27,163,1179,21,9
03.28,194,1373,23,11
03.29,127,1500,29,12
03.30,125,1625,29,20
03.31,289,1914,76,26
04.01,157,2071,82,26
04.02,315,2386,107,32
04.03,72,2458,126,35
04.04,250,2708,130,41
04.05,415,3123,208,45
04.06,154,3277,257,50
04.07,728,4005,429,55
04.08,178,4183,467,58
04.09,279,4462,572,63
04.10,139,4601,727,66
04.11,369,4970,762,77
04.12,200,5170,1026,88
04.13,323,5493,1095,93
04.14,344,5837,1378,96
04.15,151,5988,1446,107
04.16,931,6919,1645,128
04.17,106,7025,1765,135
04.18,613,7638,1832,143
04.19,355,7993,1868,159
04.20,425,8418,1970,176
04.21,798,9216,2066,192
04.22,860,10076,2156,212
04.23,735,10811,2337,228
04.24,344,11155,2527,237
04.25,1072,12227,2755,256
04.26,496,12723,2866,269
04.27,605,13328,3029,281
04.28,751,14079,3233,301
04.29,1210,15289,3425,335
04.30,828,16117,4105,358
05.01,1322,17439,4315,391
05.02,1331,18770,4753,432
05.03,252,19022,4753,437
05.04,1862,20884,5635,476
05.05,617,21501,5782,486
05.06,1049,22550,6217,526
05.07,1572,24122,6464,585
05.08,2313,26435,7530,599
05.09,1039,27474,7756,618
05.10,1991,29465,8023,639
05.11,1476,30941,8212,667
05.12,1733,32674,8555,724
05.13,1662,34336,8812,737
05.14,1452,35788,9695,770
05.15,1430,37218,10155,803
05.16,1581,38799,10880,834
05.17,1352,40151,11341,873
05.18,1974,42125,11922,903
05.19,1841,43966,12489,939
05.20,1932,45898,13101,985
05.21,2193,48091,14155,1017
05.22,2603,50694,15201,1067
05.23,1743,52437,16653,1101
05.24,2164,54601,17198,1133
05.25,1748,56349,17482,1167
05.26,1356,57705,18314,1197
05.27,1446,59151,19142,1225
05.28,2076,61227,20231,1260
05.29,2801,64028,22305,1317
05.30,2429,66457,24131,1395
05.31,3039,69496,25271,1483
06.01,2964,72460,26083,1543
06.02,3938,76398,27110,1621
06.03,0,76398,27110,1621
06.04,8866,85264,30128,1770
06.05,3985,89249,31198,1838
06.06,4734,93983,32581,1935
06.07,4960,98943,33465,2002
06.08,4728,103671,34355,2067
06.09,4646,108317,35018,2172
06.10,5385,113702,36308,2255
06.11,5834,119536,38391,2356
06.12,6397,125933,40247,2463
06.13,6472,132405,50056,2551
06.14,6825,139230,51735,2632
06.15,5248,144478,53721,2729
06.16,4443,148921,56390,2839
06.17,5839,154760,58437,2975
06.18,5358,160118,59215,3093
06.19,4944,165062,61383,3229
06.20,6604,171666,63504,3382
06.21,4951,176617,67892,3501
06.22,4471,181088,71458,3590
06.23,3946,185034,73471,3695
06.24,3892,188926,77754,3755
06.25,4044,192970,81307,3903
06.26,2775,195745,84168,3962
06.27,3138,198883,86906,4035
06.28,4072,202955,92624,4118
06.29,3557,206512,95407,4167
06.30,2825,209337,98503,4304
07.01,4133,213470,100802,4395
07.02,4339,217809,104694,4473
07.03,4087,221896,113623,4551
07.04,3387,225283,125094,4619
07.05,3191,228474,129830,4712
07.06,3344,231818,131649,4762
07.07,2691,234509,134957,4839
07.08,2980,237489,140965,4922
07.09,3359,240848,145311,4983
07.10,2751,243599,149092,5058
07.11,2752,246351,153134,5123
07.12,2521,248872,156700,5197
07.13,2753,251625,161917,5266
07.14,1979,253604,170656,5320
07.15,2165,255769,172810,5386
07.16,2145,257914,178737,5426
07.17,2085,259999,183737,5475
07.18,1918,261917,198509,5522
07.19,1579,263496,204276,5568
07.20,1587,265083,205929,5599
07.21,1013,266096,208030,5639
07.22,1332,267428,210468,5677
