date,confirm_add,confirm,heal,dead
03.13,1,1,0,0
03.14,0,1,0,0
03.15,0,1,0,0
03.16,0,1,0,0
03.17,0,1,0,0
03.18,0,1,0,0
03.19,0,1,0,0
03.20,1,2,0,0
03.21,0,2,0,0
03.22,0,2,0,0
03.23,2,4,0,0
03.24,2,4,0,0
03.25,0,4,0,0
03.26,0,4,0,0
03.27,4,8,0,0
03.28,0,8,0,0
03.29,4,8,0,0
03.30,8,16,1,0
03.31,6,22,0,0
04.01,8,30,0,0
04.02,22,52,0,0
04.03,0,52,0,0
04.04,21,73,2,0
04.05,38,111,5,0
04.06,10,121,5,0
04.07,7,128,5,0
04.08,16,144,5,0
04.09,20,164,5,0
04.10,30,194,11,0
04.11,18,212,15,0
04.12,38,250,17,0
04.13,0,250,17,0
04.14,113,363,31,0
04.15,41,404,31,1
04.16,0,404,31,1
04.17,34,438,49,1
04.18,39,477,59,3
04.19,41,518,65,3
04.20,61,579,87,5
04.21,43,622,122,5
04.22,139,761,164,6
04.23,0,761,164,6
04.24,101,862,170,6
04.25,92,954,191,6
04.26,42,996,208,7
04.27,0,996,208,7
04.28,167,1163,246,7
04.29,77,1240,269,7
04.30,111,1351,313,7
05.01,144,1495,329,7
05.02,42,1537,342,7
05.03,49,1586,405,7
05.04,0,1586,405,7
05.05,124,1710,450,9
05.06,101,1811,498,10
05.07,45,1856,597,11
05.08,71,1927,629,11
05.09,82,2009,663,11
05.10,33,2042,698,11
05.11,104,2146,714,11
05.12,67,2213,771,11
05.13,85,2298,816,11
05.14,76,2374,856,14
05.15,99,2473,895,15
05.16,58,2531,1094,15
05.17,127,2658,1133,16
05.18,0,2658,1133,16
05.19,138,2796,1263,16
05.20,67,2863,1525,18
05.21,0,2863,1525,18
05.22,204,3067,1575,18
05.23,0,3067,1575,19
05.24,109,3176,1631,20
05.25,99,3275,1673,20
05.26,0,3275,1673,20
05.27,0,3275,1673,20
05.28,0,3275,1673,20
05.29,278,3553,1950,22
05.30,103,3656,2000,22
05.31,50,3706,2030,23
06.01,0,3706,2030,23
06.02,138,3844,2135,23
06.03,42,3886,2267,23
06.04,47,3933,2332,23
06.05,58,3991,2512,23
06.06,69,4060,2667,23
06.07,57,4117,2857,23
06.08,0,4117,2877,23
06.09,99,4216,2918,23
06.10,42,4258,2942,23
06.11,0,4258,2942,23
06.12,114,4372,3033,23
06.13,54,4426,3106,24
06.14,58,4484,3213,25
06.15,48,4532,3234,25
06.16,40,4572,3259,26
06.17,67,4639,3327,26
06.18,29,4668,3364,26
06.19,173,4841,3467,26
06.20,63,4904,3522,27
06.21,56,4960,3630,27
06.22,28,4988,3669,27
06.23,52,5040,3685,28
06.24,0,5040,3685,28
06.25,134,5174,3861,29
06.26,0,5174,3861,29
06.27,86,5260,4155,29
06.28,31,5291,4215,30
06.29,51,5342,4282,31
06.30,9,5351,4296,31
07.01,40,5391,4326,33
07.02,13,5404,4346,33
07.03,46,5450,4392,33
07.04,71,5521,4446,33
07.05,49,5570,4496,34
07.06,40,5610,4522,34
07.07,0,5610,4522,34
07.08,87,5697,4577,34
07.09,0,5697,4577,34
07.10,184,5881,4672,36
07.11,88,5969,4732,37
07.12,75,6044,4802,37
07.13,97,6141,4862,37
07.14,0,6141,4862,37
07.15,59,6200,4951,38
07.16,76,6276,4981,38
07.17,83,6359,5012,39
07.18,71,6430,5233,39
07.19,61,6491,5257,39
07.20,53,6544,5511,39
07.21,46,6590,5591,40
07.22,62,6652,5771,41
