date,confirm_add,confirm,heal,dead
03.12,3,3,0,1
03.13,0,3,0,1
03.14,0,3,0,1
03.15,0,3,0,1
03.16,0,3,0,1
03.17,0,3,0,1
03.18,0,3,0,1
03.19,3,10,0,1
03.20,6,16,0,0
03.21,5,21,0,1
03.22,0,21,0,1
03.23,14,35,0,1
03.24,19,40,0,1
03.25,8,48,1,1
03.26,9,57,1,1
03.27,10,67,1,2
03.28,40,80,4,2
03.29,39,119,4,3
03.30,20,139,4,3
03.31,31,170,4,4
04.01,16,186,8,6
04.02,26,212,12,6
04.03,21,233,13,6
04.04,36,269,15,6
04.05,19,288,15,6
04.06,32,320,15,8
04.07,43,363,18,9
04.08,33,396,27,11
04.09,61,457,27,12
04.10,58,515,28,15
04.11,49,564,51,15
04.12,56,620,77,16
04.13,106,726,121,21
04.14,0,726,121,21
04.15,40,766,132,21
04.16,48,814,151,24
04.17,109,923,171,31
04.18,0,923,192,31
04.19,63,986,227,32
04.20,49,1035,255,34
04.21,52,1087,285,36
04.22,102,1189,341,40
04.23,46,1235,365,43
04.24,0,1235,365,43
04.25,102,1337,416,49
04.26,32,1369,501,54
04.27,0,1369,501,54
04.28,68,1437,575,58
04.29,0,1437,575,58
04.30,30,1467,617,58
05.01,34,1501,681,61
05.02,36,1537,714,64
05.03,74,1611,765,66
05.04,38,1649,827,67
05.05,19,1668,876,69
05.06,17,1685,954,69
05.07,18,1703,1001,69
05.08,38,1741,1078,74
05.09,0,1741,1078,74
05.10,13,1754,1140,74
05.11,12,1766,1193,77
05.12,17,1783,1229,77
05.13,27,1810,1326,79
05.14,20,1830,1383,79
05.15,0,1830,1383,79
05.16,32,1862,1460,79
05.17,10,1872,1495,79
05.18,9,1881,1505,79
05.19,0,1881,1505,79
05.20,6,1887,1538,79
05.21,13,1900,1573,79
05.22,8,1908,1603,80
05.23,8,1916,1631,81
05.24,25,1941,1689,82
05.25,6,1947,1704,82
05.26,16,1963,1709,82
05.27,11,1974,1724,82
05.28,9,1983,1734,82
05.29,22,2005,1760,82
05.30,0,2005,1760,82
05.31,20,2025,1795,83
06.01,58,2083,1826,83
06.02,9,2092,1827,83
06.03,0,2092,1827,83
06.04,27,2119,1839,83
06.05,0,2119,1839,83
06.06,54,2173,1855,83
06.07,18,2191,1862,83
06.08,9,2200,1868,83
06.09,5,2205,1880,83
06.10,0,2205,1880,83
06.11,14,2219,1893,84
06.12,14,2233,1902,84
06.13,0,2233,1902,84
06.14,15,2248,1948,84
06.15,14,2262,1965,84
06.16,11,2273,1994,84
06.17,7,2280,1999,84
06.18,15,2295,2020,85
06.19,10,2305,2037,85
06.20,4,2309,2071,85
06.21,0,2309,2071,85
06.22,6,2315,2113,85
06.23,3,2318,2123,85
06.24,1,2319,2130,85
06.25,2,2321,2171,85
06.26,4,2325,2180,85
06.27,5,2330,2187,86
06.28,2,2332,2201,86
06.29,8,2340,2211,86
06.30,1,2341,2214,86
07.01,7,2348,2218,86
07.02,5,2353,2221,86
07.03,0,2353,2221,86
07.04,16,2369,2227,86
07.05,3,2372,2229,86
07.06,8,2380,2234,86
07.07,0,2380,2234,86
07.08,19,2399,2242,86
07.09,4,2403,2244,86
07.10,0,2403,2244,86
07.11,17,2420,2254,87
07.12,0,2420,2254,87
07.13,8,2428,2268,87
07.14,4,2432,2275,87
07.15,0,2432,2275,87
07.16,6,2438,2277,87
07.17,6,2444,2300,87
07.18,0,2444,2300,87
07.19,1,2445,2304,87
07.20,1,2446,2308,87
07.21,3,2449,2321,87
07.22,0,2449,2321,87
